,sentence,category,sentiment
78,Easy to order all ready when I got there fitted quickly with no issues at a good price,value for money,positive
79,Great service great price you just have to pick the garage carefully,value for money,positive
80,The prices are competitive and the local garage provides great service.,value for money,positive
81,The prices are competitive and the local garage provides great service.,location,positive
82,The prices are competitive and the local garage provides great service.,garage service,positive
83,"Easy to navigate website, was sent notification of the appointment, but most important the suggested tyre fitter was excellent. I will be recommending and using [REDACTED] and their suggested fitter, Merityre in Bookham in the future",garage service,positive
84,Easily arranged on line. Decent price for tyres and only small extra charge for fitting at home. That was done by very pleasant fitter.,ease of booking,positive
85,Easily arranged on line. Decent price for tyres and only small extra charge for fitting at home. That was done by very pleasant fitter.,mobile fitter,positive
86,Easily arranged on line. Decent price for tyres and only small extra charge for fitting at home. That was done by very pleasant fitter.,extra charges,positive
87,Easily arranged on line. Decent price for tyres and only small extra charge for fitting at home. That was done by very pleasant fitter.,value for money,positive
88,"Convenient, easy way to search for tyres and pick a garage and a time that is suitable",ease of booking,positive
89,Good price. Quality tyres.,tyre quality,positive
90,Good price. Quality tyres.,value for money,positive
91,Very good service. Confidence in price.,value for money,positive
92,"Simple ordering, convenient fitting and sensible prices",value for money,positive
93,Ease of use The mechanics who fitted my tyres were very helpful.,garage service,positive
94,Easy to order easy to get fitted at a time and place to suit,ease of booking,positive
95,Easy to order easy to get fitted at a time and place to suit,location,positive
96,"Happy with [REDACTED] but won’t be using the garage to fit them , the man at the garage was very rude to me , so when I need tyres again from [REDACTED] I won’t be going to just tyres in Solihull off life lane",garage service,positive
97,"Happy with [REDACTED] but won’t be using the garage to fit them , the man at the garage was very rude to me , so when I need tyres again from [REDACTED] I won’t be going to just tyres in Solihull off life lane",garage service,negative
98,Competitive price and convenient fitting in Northern Ireland.,garage service,positive
99,Competitive price and convenient fitting in Northern Ireland.,value for money,positive
100,Service and price were incomparable to other similar services and fitter couldn’t of been anymore friendlier,garage service,positive
101,Service and price were incomparable to other similar services and fitter couldn’t of been anymore friendlier,value for money,positive
102,Slow fitting.,garage service,negative
103,Slow fitting.,length of fitting,negative
104,"Great prices and selection of tyres, convenient fitting locations",value for money,positive
105,"Great prices and selection of tyres, convenient fitting locations",location,positive
106,Used them before and was happy with the quick service and price for full fitting,value for money,positive
107,Not a 10 as I found the garage a bit difficult to find,location,negative
108,"good price, good service",value for money,positive
109,"Always good online price and very convenient - and excellent - fitting service at SBServices, Strathaven",location,positive
110,"Always good online price and very convenient - and excellent - fitting service at SBServices, Strathaven",value for money,positive
111,"Always good online price and very convenient - and excellent - fitting service at SBServices, Strathaven",garage service,positive
112,Good prices. easy to arrange local fitting,location,positive
113,Good prices. easy to arrange local fitting,ease of booking,positive
114,Good prices. easy to arrange local fitting,value for money,positive
115,"Miles better price than anywhere else, selection of fitting centres and methods very versatile",value for money,positive
116,more expensive,value for money,positive
117,more expensive,value for money,negative
118,Good price. Local fitters.,value for money,positive
119,Good price. Local fitters.,location,positive
120,Because the company fitting the tyres took a very long time to do the job.Almost as though they didnt like the fact the tyres had been booked through [REDACTED],length of fitting,positive
121,Because the company fitting the tyres took a very long time to do the job.Almost as though they didnt like the fact the tyres had been booked through [REDACTED],garage service,negative
122,Because the company fitting the tyres took a very long time to do the job.Almost as though they didnt like the fact the tyres had been booked through [REDACTED],length of fitting,negative
123,Contacted to change date as original date was changed by [REDACTED],ease of booking,negative
124,Contacted to change date as original date was changed by [REDACTED],change of date,negative
125,Dropped the car off at the time stated on the order and 30 mins later ready to drive away simple great job.,length of fitting,positive
126,Dropped the car off at the time stated on the order and 30 mins later ready to drive away simple great job.,wait time,positive
127,I knew about the superb service because I have bought tyres before from [REDACTED].,garage service,positive
128,Efficient and good value,value for money,positive
129,"Good choice, easy to use, great pricing",value for money,positive
130,This is the best price and range of tyres I could find also local garages and good times,location,positive
131,This is the best price and range of tyres I could find also local garages and good times,ease of booking,positive
132,This is the best price and range of tyres I could find also local garages and good times,value for money,positive
133,because it was hassle free. booked it online. took it to the garage on a Saturday and collected after. it was cheaper than the garage I took the car to.,value for money,positive
134,I have used [REDACTED] on a number of occasions and have always received great service and a really good quality product. The number and locations of the approved fitting centres makes it easy to fit in with work.,location,positive
135,I have used [REDACTED] on a number of occasions and have always received great service and a really good quality product. The number and locations of the approved fitting centres makes it easy to fit in with work.,tyre quality,positive
136,I have used [REDACTED] on a number of occasions and have always received great service and a really good quality product. The number and locations of the approved fitting centres makes it easy to fit in with work.,ease of booking,positive
137,"The process was simple and the tyre I bought was a good price. The only issue was that fitting it took 35 minutes from arriving at depot to leaving, which I felt was too long for a pre-arranged appointment.",value for money,positive
138,"The process was simple and the tyre I bought was a good price. The only issue was that fitting it took 35 minutes from arriving at depot to leaving, which I felt was too long for a pre-arranged appointment.",length of fitting,positive
139,"The process was simple and the tyre I bought was a good price. The only issue was that fitting it took 35 minutes from arriving at depot to leaving, which I felt was too long for a pre-arranged appointment.",garage service,positive
140,"The process was simple and the tyre I bought was a good price. The only issue was that fitting it took 35 minutes from arriving at depot to leaving, which I felt was too long for a pre-arranged appointment.",length of fitting,negative
141,"Excellent service, good prices and lots choices.",value for money,positive
142,Easy to order and choose your own tyre fitter,ease of booking,positive
143,"Great price, great customer experience at the garage I chose. Couldn’t fault the whole thing",garage service,positive
144,"Great price, great customer experience at the garage I chose. Couldn’t fault the whole thing",value for money,positive
145,"Excellent service, tyres delivered to the fitter arranged.both tyres were fitted to my car in about thirty minutes. Very good service.",delivery punctuality,positive
146,"Excellent service, tyres delivered to the fitter arranged.both tyres were fitted to my car in about thirty minutes. Very good service.",garage service,positive
147,"Excellent service, tyres delivered to the fitter arranged.both tyres were fitted to my car in about thirty minutes. Very good service.",length of fitting,positive
148,Good price and fitting was easy to arrange,value for money,positive
149,Good price and fitting was easy to arrange,ease of booking,positive
150,Good service and price. ‘Faceless’ company,value for money,positive
151,The website is easy to use and you can choose the garage you want to complete the work,garage service,positive
152,The website is easy to use and you can choose the garage you want to complete the work,ease of booking,positive
153,"Excellent service! Simple website ordering system, tyres delivered to my local garage and fitted in a timely manner.",ease of booking,positive
154,"Excellent service! Simple website ordering system, tyres delivered to my local garage and fitted in a timely manner.",length of fitting,positive
155,"Excellent service! Simple website ordering system, tyres delivered to my local garage and fitted in a timely manner.",location,positive
156,Great service and competitive price,value for money,positive
157,Item went missing from my vehicle during the time it was with the Company that fitted my tyres,garage service,negative
158,You missed the appointment time and told me the night before,ease of booking,negative
159,"Excellent all round, very competitive prices and the team were hugely helpful",value for money,positive
160,Unbeatable Prices. Brilliant way to purchase tyres and plenty of local garages to fit them.I was unable to find a better deal elsewhere.,location,positive
161,Unbeatable Prices. Brilliant way to purchase tyres and plenty of local garages to fit them.I was unable to find a better deal elsewhere.,ease of booking,positive
162,Unbeatable Prices. Brilliant way to purchase tyres and plenty of local garages to fit them.I was unable to find a better deal elsewhere.,value for money,positive
163,"Excellent service, very quick & efficient at a very good price",value for money,positive
164,Got the tyres I wanted with no hassle and at the best price.,value for money,positive
165,Easy to use web site. User friendly appointment fitting and importantly great prices and great range of tyres,value for money,positive
166,Easy to use web site. User friendly appointment fitting and importantly great prices and great range of tyres,ease of booking,positive
167,"Exactly what I wanted. As always, great prices and simple ordering, backed up by an excellent fitter. Exactly what I want.",garage service,positive
168,"Exactly what I wanted. As always, great prices and simple ordering, backed up by an excellent fitter. Exactly what I want.",value for money,positive
169,"Good choice of products on the website, and efficient delivery and fitting process in conjunction with our local garage.",delivery punctuality,positive
170,"Good choice of products on the website, and efficient delivery and fitting process in conjunction with our local garage.",length of fitting,positive
171,"Good choice of products on the website, and efficient delivery and fitting process in conjunction with our local garage.",location,positive
172,"Excellent service, and very good cost saving on tyres. Would recommend.",value for money,positive
173,"Very pleased. Excellent price on line and then fitted locally. What’s not to like,",location,positive
174,"Very pleased. Excellent price on line and then fitted locally. What’s not to like,",value for money,positive
175,"Good price, arrived in time",delivery punctuality,positive
176,"Good price, arrived in time",value for money,positive
177,"Excellent service and good price too, have used previously and will use again",value for money,positive
178,"New tyres. Ease of purchase, garage professional and courteous.",garage service,positive
179,Affordable and good online tyre data info. The only negative comment is I wanted to book at home service but could not book a slot except am or pm,value for money,positive
180,Affordable and good online tyre data info. The only negative comment is I wanted to book at home service but could not book a slot except am or pm,mobile fitter,positive
181,Affordable and good online tyre data info. The only negative comment is I wanted to book at home service but could not book a slot except am or pm,ease of booking,positive
182,Affordable and good online tyre data info. The only negative comment is I wanted to book at home service but could not book a slot except am or pm,ease of booking,negative
183,Nice and Easy. The website nice and simple to use. A local garage fitted them at a time of my choosing. No issues or problems with the service.,location,positive
184,Nice and Easy. The website nice and simple to use. A local garage fitted them at a time of my choosing. No issues or problems with the service.,ease of booking,positive
185,Nice and Easy. The website nice and simple to use. A local garage fitted them at a time of my choosing. No issues or problems with the service.,garage service,positive
186,"Why the wait. Purchasing the new tyre and booking an appointment for fitting was very straightforward, but I was rather disappointed that having made a booking I still had to wait around for nearly 2 hours at the garage when the actual fitting only took 20 mins tops.",length of fitting,positive
187,"Why the wait. Purchasing the new tyre and booking an appointment for fitting was very straightforward, but I was rather disappointed that having made a booking I still had to wait around for nearly 2 hours at the garage when the actual fitting only took 20 mins tops.",ease of booking,positive
188,"Why the wait. Purchasing the new tyre and booking an appointment for fitting was very straightforward, but I was rather disappointed that having made a booking I still had to wait around for nearly 2 hours at the garage when the actual fitting only took 20 mins tops.",wait time,negative
189,"Thought I’d already done this but it’s definitely worth doing again as I’m very satisfied with [REDACTED] and the authorised fitting firm Shawfix. Very good system,efficient and great value for money. I highly recommend this company and I’m glad a friend of mine recommended them to me too.",garage service,positive
190,"Thought I’d already done this but it’s definitely worth doing again as I’m very satisfied with [REDACTED] and the authorised fitting firm Shawfix. Very good system,efficient and great value for money. I highly recommend this company and I’m glad a friend of mine recommended them to me too.",value for money,positive
191,Easy to use and faultless from start to finish,ease of booking,positive
192,Everything done as expected. However either this fitter (ATS) or my local garage where I had a service done has put some finger marks on the inner roof lining. but I can't be sure which.,damage,negative
193,Everything done as expected. However either this fitter (ATS) or my local garage where I had a service done has put some finger marks on the inner roof lining. but I can't be sure which.,garage service,positive
194,Everything done as expected. However either this fitter (ATS) or my local garage where I had a service done has put some finger marks on the inner roof lining. but I can't be sure which.,location,positive
195,Tyres purchase and fitting. Tyres fitted to my car locally at a great price.Kept informed of fitting date and time throughout.All in all a fuss free and pleasurable experience which I will definitely use again.,garage service,positive
196,Tyres purchase and fitting. Tyres fitted to my car locally at a great price.Kept informed of fitting date and time throughout.All in all a fuss free and pleasurable experience which I will definitely use again.,value for money,positive
197,Very friendly and professional. Thanks for a speedy and painless turnaround. Definitely will be using you again.,length of fitting,positive
198,Very friendly and professional. Thanks for a speedy and painless turnaround. Definitely will be using you again.,garage service,positive
199,Great garage great tyres great service,tyre quality,positive
200,Great garage great tyres great service,garage service,positive
201,Quick and easy service from ordering the tyres to the fitting.,garage service,positive
202,Quick and easy service from ordering the tyres to the fitting.,ease of booking,positive
203,Good competitive price and fitted bang on time slot,value for money,positive
204,Good competitive price and fitted bang on time slot,wait time,positive
205,Great service. Easy to order with a first class fitting service,garage service,positive
206,Great service. Easy to order with a first class fitting service,ease of booking,positive
207,Busy garage. Very busy garage make a appointment very pleased with the work that was done,garage service,positive
208,Busy garage. Very busy garage make a appointment very pleased with the work that was done,garage service,negative
209,It was easy to pick the tyres I wanted at a great price. Then select a garage and time that suits you.,value for money,positive
210,It was easy to pick the tyres I wanted at a great price. Then select a garage and time that suits you.,ease of booking,positive
211,Excellent service and simple system for the whole process. Would recommend to all and will definitely use again.,ease of booking,positive
212,"Great service, very easy to use website. The staff at my local dealer - Oak Tree Garage,Darlington Road, DL6 2PA - were very polite, helpful and informative. Overall a brilliant experience, I will definitely use them again.",garage service,positive
213,"Great service, very easy to use website. The staff at my local dealer - Oak Tree Garage,Darlington Road, DL6 2PA - were very polite, helpful and informative. Overall a brilliant experience, I will definitely use them again.",location,positive
214,New Tyres. Quick delivery to fitting centre that was also quick and very efficient. will def. use [REDACTED] and the garage again.,delivery punctuality,positive
215,New Tyres. Quick delivery to fitting centre that was also quick and very efficient. will def. use [REDACTED] and the garage again.,length of fitting,positive
216,New Tyres. Quick delivery to fitting centre that was also quick and very efficient. will def. use [REDACTED] and the garage again.,garage service,positive
217,"Very professional and helpful staff.Strongly recommend although I had slightly problems with one of the garage's date after I selected the convenient garage with their availability date and hour to fit four tyres for my car.15 minutes later I received an email from [REDACTED], saying that the nominated garage is fully booked on that day ( when I booked there were showing other three different times as well on that day !! ).The garages's deta bases have to be up to date with [REDACTED] system. Many thanks to [REDACTED] staff were resolved the problem very quickly.",wait time,positive
218,"Very professional and helpful staff.Strongly recommend although I had slightly problems with one of the garage's date after I selected the convenient garage with their availability date and hour to fit four tyres for my car.15 minutes later I received an email from [REDACTED], saying that the nominated garage is fully booked on that day ( when I booked there were showing other three different times as well on that day !! ).The garages's deta bases have to be up to date with [REDACTED] system. Many thanks to [REDACTED] staff were resolved the problem very quickly.",advisor/agent service,positive
219,"Very professional and helpful staff.Strongly recommend although I had slightly problems with one of the garage's date after I selected the convenient garage with their availability date and hour to fit four tyres for my car.15 minutes later I received an email from [REDACTED], saying that the nominated garage is fully booked on that day ( when I booked there were showing other three different times as well on that day !! ).The garages's deta bases have to be up to date with [REDACTED] system. Many thanks to [REDACTED] staff were resolved the problem very quickly.",garage service,positive
220,"Very professional and helpful staff.Strongly recommend although I had slightly problems with one of the garage's date after I selected the convenient garage with their availability date and hour to fit four tyres for my car.15 minutes later I received an email from [REDACTED], saying that the nominated garage is fully booked on that day ( when I booked there were showing other three different times as well on that day !! ).The garages's deta bases have to be up to date with [REDACTED] system. Many thanks to [REDACTED] staff were resolved the problem very quickly.",advisoragent service,positive
221,"Very professional and helpful staff.Strongly recommend although I had slightly problems with one of the garage's date after I selected the convenient garage with their availability date and hour to fit four tyres for my car.15 minutes later I received an email from [REDACTED], saying that the nominated garage is fully booked on that day ( when I booked there were showing other three different times as well on that day !! ).The garages's deta bases have to be up to date with [REDACTED] system. Many thanks to [REDACTED] staff were resolved the problem very quickly.",ease of booking,negative
222,"Will use again. Ease of ordering on line, choice of garage, good price and pleased with service all round.",value for money,positive
223,"Excellent service. Price is great (fitting included in price, no hidden costs). Fast and great service, will always recommend.",extra charges,positive
224,"Excellent service. Price is great (fitting included in price, no hidden costs). Fast and great service, will always recommend.",value for money,positive
225,"Easy to use and garage was great. Only crticism is that on [REDACTED] it said the slot was morning so I checked with them what that actualy meant. They said I could go anytime from 8.30 to 11.30. I booked the fitting and got an appointment time of 8.30, no flexibility as per first enquiry. I mentioned this to the garage and they told me they also get told what time slot it is by [REDACTED]. This should be clearer up front.",garage service,positive
226,"Easy to use and garage was great. Only crticism is that on [REDACTED] it said the slot was morning so I checked with them what that actualy meant. They said I could go anytime from 8.30 to 11.30. I booked the fitting and got an appointment time of 8.30, no flexibility as per first enquiry. I mentioned this to the garage and they told me they also get told what time slot it is by [REDACTED]. This should be clearer up front.",ease of booking,negative
227,"Easy to use and garage was great. Only crticism is that on [REDACTED] it said the slot was morning so I checked with them what that actualy meant. They said I could go anytime from 8.30 to 11.30. I booked the fitting and got an appointment time of 8.30, no flexibility as per first enquiry. I mentioned this to the garage and they told me they also get told what time slot it is by [REDACTED]. This should be clearer up front.",ease of booking,positive
228,"Seamless hasslefree experience. Seamless delivery, fitting and payment. Good price too. I like being able to select the tyre I want in advance. There was a good range to suit my budget and being able to schedule it for a time/day that suits me is very handy.",delivery punctuality,positive
229,"Seamless hasslefree experience. Seamless delivery, fitting and payment. Good price too. I like being able to select the tyre I want in advance. There was a good range to suit my budget and being able to schedule it for a time/day that suits me is very handy.",garage service,positive
230,"Seamless hasslefree experience. Seamless delivery, fitting and payment. Good price too. I like being able to select the tyre I want in advance. There was a good range to suit my budget and being able to schedule it for a time/day that suits me is very handy.",ease of booking,positive
231,"Seamless hasslefree experience. Seamless delivery, fitting and payment. Good price too. I like being able to select the tyre I want in advance. There was a good range to suit my budget and being able to schedule it for a time/day that suits me is very handy.",value for money,positive
232,Very easy to use and a great saving on previous quotes. Faultless from start to finish,value for money,positive
233,"Never had any issues with the tyres, fitting or garages i’ve Used via [REDACTED]- easy and cost effective service.",garage service,positive
234,"Never had any issues with the tyres, fitting or garages i’ve Used via [REDACTED]- easy and cost effective service.",value for money,positive
235,"The whole process is very slick, prices competitive, and the ratings of nearby fitters helpful to choose who to use. I have used [REDACTED] for a number of years now and never been let down.",location,positive
236,"The whole process is very slick, prices competitive, and the ratings of nearby fitters helpful to choose who to use. I have used [REDACTED] for a number of years now and never been let down.",value for money,positive
237,Got high end tyres for an awesome price. Definitely use again.,tyre quality,positive
238,Got high end tyres for an awesome price. Definitely use again.,value for money,positive
239,"Friendly service and advice,very good prices through [REDACTED]",value for money,positive
240,Great service and a nice easy way to choose tyres for your budget,value for money,positive
241,"No problem ordering online, quick and easy process, good choice of booking slots and pit stop convenient to get to. Took guys longer than expected to change my tyres but could see that they were tired and had a very long and busy day. They were friendly and just nice guys. Thanks for doing the job and will definitely use them again. Cathy",ease of booking,positive
242,"No problem ordering online, quick and easy process, good choice of booking slots and pit stop convenient to get to. Took guys longer than expected to change my tyres but could see that they were tired and had a very long and busy day. They were friendly and just nice guys. Thanks for doing the job and will definitely use them again. Cathy",length of fitting,positive
243,"No problem ordering online, quick and easy process, good choice of booking slots and pit stop convenient to get to. Took guys longer than expected to change my tyres but could see that they were tired and had a very long and busy day. They were friendly and just nice guys. Thanks for doing the job and will definitely use them again. Cathy",location,positive
244,"No problem ordering online, quick and easy process, good choice of booking slots and pit stop convenient to get to. Took guys longer than expected to change my tyres but could see that they were tired and had a very long and busy day. They were friendly and just nice guys. Thanks for doing the job and will definitely use them again. Cathy",garage service,positive
245,"No problem ordering online, quick and easy process, good choice of booking slots and pit stop convenient to get to. Took guys longer than expected to change my tyres but could see that they were tired and had a very long and busy day. They were friendly and just nice guys. Thanks for doing the job and will definitely use them again. Cathy",length of fitting,negative
246,"This company wont leave you deflated. Really easy peasy way to buy decent reasonably priced tyres with the ability to pick a fitting time,|(if required) that suits your needs. Used them now for the last four or five years and never had a problem.",ease of booking,positive
247,"This company wont leave you deflated. Really easy peasy way to buy decent reasonably priced tyres with the ability to pick a fitting time,|(if required) that suits your needs. Used them now for the last four or five years and never had a problem.",value for money,negative
248,"This company wont leave you deflated. Really easy peasy way to buy decent reasonably priced tyres with the ability to pick a fitting time,|(if required) that suits your needs. Used them now for the last four or five years and never had a problem.",value for money,positive
249,"This company wont leave you deflated. Really easy peasy way to buy decent reasonably priced tyres with the ability to pick a fitting time,|(if required) that suits your needs. Used them now for the last four or five years and never had a problem.",ease of booking,negative
250,"Reliable. Fast, reliable and with excellent prices.",value for money,positive
251,"What a great service. The [REDACTED] website offered me a great price and the tyres were delivered to my local fitter promptly - as promised! The fitter at M D Tyre & Exhaust Centre, Gorse Lane Industrial Estate, Clacton was friendly and thorough. I would be quite happy to recommend this service!",garage service,positive
252,"What a great service. The [REDACTED] website offered me a great price and the tyres were delivered to my local fitter promptly - as promised! The fitter at M D Tyre & Exhaust Centre, Gorse Lane Industrial Estate, Clacton was friendly and thorough. I would be quite happy to recommend this service!",location,positive
253,"What a great service. The [REDACTED] website offered me a great price and the tyres were delivered to my local fitter promptly - as promised! The fitter at M D Tyre & Exhaust Centre, Gorse Lane Industrial Estate, Clacton was friendly and thorough. I would be quite happy to recommend this service!",delivery punctuality,positive
254,"What a great service. The [REDACTED] website offered me a great price and the tyres were delivered to my local fitter promptly - as promised! The fitter at M D Tyre & Exhaust Centre, Gorse Lane Industrial Estate, Clacton was friendly and thorough. I would be quite happy to recommend this service!",value for money,positive
255,"Was quite happy to book with them, but the reason i only gave an average review my appointment was changed twice and i had other arrangements in place which i had to change",ease of booking,positive
256,"Was quite happy to book with them, but the reason i only gave an average review my appointment was changed twice and i had other arrangements in place which i had to change",change of date,negative
257,Quick easy courteous fair value,value for money,positive
258,Good choice of tyres at a competitive price. This is the second time I have used them and both times I have been very happy with the service.,value for money,positive
259,"Tyres ok, but balance on wheels was set very wrong by garage. I Gone abroad and had to stop In Germany to set balance again because it was not possible to drive.",garage service,negative
260,"Great service, great price and able to book a garage on line at a time that suits",value for money,positive
261,"Great service, great price and able to book a garage on line at a time that suits",ease of booking,positive
262,Excellent. Easy to navigate web page clear pricing structure . 5 stars,value for money,positive
263,Got 4 tyres £150 cheaper and was fitted at my local ats same week would recommend them to anyone,value for money,negative
264,Got 4 tyres £150 cheaper and was fitted at my local ats same week would recommend them to anyone,location,negative
265,Tyres fitted at ats couldn’t fault them only issue is ats could have done same price and not moaned at having to fit tyres for [REDACTED] stating they didn’t like [REDACTED] Other downside is [REDACTED] don’t offer tyre insurance but ats would have if I bought them from ats insurance at £9 per tyre. I don’t think I’d use [REDACTED] again or recommend them,value for money,positive
266,Tyres fitted at ats couldn’t fault them only issue is ats could have done same price and not moaned at having to fit tyres for [REDACTED] stating they didn’t like [REDACTED] Other downside is [REDACTED] don’t offer tyre insurance but ats would have if I bought them from ats insurance at £9 per tyre. I don’t think I’d use [REDACTED] again or recommend them,garage service,positive
267,"Great price, no fuss",value for money,positive
268,"Good value, easy to order and a good local garage to fit the tyre.",garage service,positive
269,"Good value, easy to order and a good local garage to fit the tyre.",value for money,positive
270,"Good value, easy to order and a good local garage to fit the tyre.",location,positive
271,Very easy to order and quick to deliver,delivery punctuality,positive
